Comment,Sentiment
So brain dead he can’t even draw it right,Negative
"Most likely, what with the feet. But does it make you happy?",Positive
Does he think he’s Julian?,Neutral
Don’t be swayed by a lousy $200. That’s not even a grocery trip nowadays.,Negative
H. H Holmes replica murder house. So pretty fucked,Negative
Fuck off with this. The more we entertain him the most he won’t shut up about it. Will NEVER happen,Negative
Really? Cause I’m staring at my fish fossils and they don’t have a fish shaped outline. But maybe that’s how the person carved them? Idk honestly,Positive
Quite sure the stencil ass dish are very fake lol,Negative
Who's pussy can handle this. My god,Positive
We love him. Him and AOC seem to be the only people standing up to that Putin wannabe.,Positive
